IP:PORT, LOSS, DELAY
[2606:4700:d0::1ede:fa49:0260:7fd4]:3581,0.00%,timeout ms
[2606:4700:d0::1b6a:0b6e:b8e6:0093]:3581,0.00%,timeout ms
[2606:4700:d0::4b3f:df8e:da3f:856c]:7559,0.00%,timeout ms
[2606:4700:d0::0964:7da4:6ec5:c087]:3581,0.00%,timeout ms
[2606:4700:d0::a392:b563:b512:49c4]:7559,0.00%,timeout ms
[2606:4700:d0::2cf0:a66d:4b61:9943]:3581,0.00%,timeout ms
[2606:4700:d0::55f4:d53e:dc97:061d]:3581,0.00%,timeout ms
[2606:4700:d0::1b6a:0b6e:b8e6:0093]:7559,0.00%,timeout ms
[2606:4700:d0::a392:b563:b512:49c4]:3581,0.00%,timeout ms
[2606:4700:d0::a43e:bb34:544b:064b]:3581,0.00%,timeout ms
[2606:4700:d0::146d:f729:079f:b08c]:7559,0.00%,timeout ms
[2606:4700:d0::1ede:fa49:0260:7fd4]:7559,0.00%,timeout ms
[2606:4700:d0::2cf0:a66d:4b61:9943]:7559,0.00%,timeout ms
[2606:4700:d0::55f4:d53e:dc97:061d]:7559,0.00%,timeout ms
[2606:4700:d0::a43e:bb34:544b:064b]:7559,0.00%,timeout ms
[2606:4700:d0::1dfa:2661:bad3:e343]:3581,0.00%,timeout ms
[2606:4700:d0::1dfa:2661:bad3:e343]:7559,0.00%,timeout ms
[2606:4700:d0::353c:9ab6:d260:316e]:3581,0.00%,timeout ms
[2606:4700:d0::2070:ac2b:f742:c18b]:3581,0.00%,timeout ms
[2606:4700:d0::5b60:41c4:197f:efea]:3581,0.00%,timeout ms
[2606:4700:d0::a543:22b3:dcb8:3a09]:3581,0.00%,timeout ms
[2606:4700:d0::402a:ee94:1bb1:dbd3]:3581,0.00%,timeout ms
[2606:4700:d1::5b4a:5d82:6316:a205]:7559,0.00%,timeout ms
[2606:4700:d0::2070:ac2b:f742:c18b]:7559,0.00%,timeout ms
[2606:4700:d1::a46f:d52d:6a3c:98b1]:7559,0.00%,timeout ms
[2606:4700:d0::5b60:41c4:197f:efea]:7559,0.00%,timeout ms
